,Date,Temperatures (°C),Setpoints (°C),Vehicle position,Verschil
24,12.07.2021 07:08:30,"19,8","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 21:59:49"
25,12.07.2021 07:08:45,"19,8","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 22:00:04"
1,12.07.2021 07:13:40,"19,6","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 22:04:59"
2,12.07.2021 07:23:45,"19,3","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 22:15:04"
3,12.07.2021 07:38:45,"19,8","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 22:30:04"
4,12.07.2021 07:53:45,"19,4","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 22:45:04"
5,12.07.2021 08:08:45,"19,7","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 23:00:04"
6,12.07.2021 08:10:30,"19,7","20,0","NL, 5916 RP Venlo, Europaweg 6","2 days, 23:01:49"
7,12.07.2021 08:20:10,"19,7","20,0","NL, 5916 NN Venlo, Lovendaalseweg 13","2 days, 23:11:29"
8,12.07.2021 08:23:45,"19,6","20,0","NL, 5928 RZ Venlo, Faunalaan 30","2 days, 23:15:04"
9,12.07.2021 08:38:45,"19,5","20,0","NL, 5953 AA Reuver, Rijksweg 1","2 days, 23:30:04"
10,12.07.2021 08:53:45,"19,4","20,0","NL, 6051 Maasbracht, A73","2 days, 23:45:04"
11,12.07.2021 08:56:45,"19,5","20,0","NL, 6112 Sint Joost, A73","2 days, 23:48:04"
12,12.07.2021 09:02:15,"19,7","20,0","NL, 6112 CB Sint Joost, Vonderen 5","2 days, 23:53:34"
13,12.07.2021 09:08:45,"19,9","20,0","NL, 6101 XG Echt, A2 12","3 days, 0:00:04"
14,12.07.2021 09:23:45,"19,4","20,0","NL, 6136 KT Sittard, Nusterweg 107","3 days, 0:15:04"
15,12.07.2021 09:25:10,"19,3","20,0","NL, 6136 KP Sittard, Milieuparkweg 14","3 days, 0:16:29"
16,12.07.2021 09:30:30,"19,4","20,0","NL, 6136 XZ Sittard, Doctor A.F. Philipsstraat 6","3 days, 0:21:49"
17,12.07.2021 09:36:45,"19,6","20,0","NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:28:04"
18,12.07.2021 09:38:45,"19,6","20,0","NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:30:04"
19,12.07.2021 09:39:25,"19,6","20,0","NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:30:44"
20,12.07.2021 09:39:40,"19,6","20,0","NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:30:59"
21,12.07.2021 09:47:20,"19,8","20,0","NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:38:39"
22,12.07.2021 09:48:17,,,"NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:39:36"
23,12.07.2021 09:48:20,,,"NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:39:39"
24,12.07.2021 09:52:00,,,"NL, 6136 GV Sittard, Doctor Nolenslaan 126","3 days, 0:43:19"
25,12.07.2021 09:53:48,,,"NL, 6136 GV Sittard, Doctor Nolenslaan 134","3 days, 0:45:07"
1,12.07.2021 09:54:47,,,"NL, 6135 Sittard, Doctor Nolenslaan","3 days, 0:46:06"
2,12.07.2021 09:57:17,,,"NL, 6135 GZ Sittard, Hasseltsebaan 100","3 days, 0:48:36"
3,12.07.2021 09:57:22,,,"NL, 6135 GZ Sittard, Hasseltsebaan 100","3 days, 0:48:41"
